time,A2022,time,B2052,time,C2047,,,
109.5,4.9194,109.5,4.90506,109.5,0.0948835,4.8101765,4.825419,23.21111708
110,4.91912,110,4.90469,110,0.0959644,4.8087256,4.824009,23.19733557
110.5,4.91811,110.5,4.90353,110.5,0.096417,4.807113,4.8226,23.18278315
111,4.91723,111,4.90261,111,0.0969465,4.8056635,4.821144,23.16879575
111.5,4.91669,111.5,4.90205,111.5,0.0979137,4.8041363,4.819684,23.15441886
112,4.91597,112,4.90127,112,0.0986979,4.8025721,4.81823,23.13989697
112.5,4.91523,112.5,4.90042,112.5,0.0994335,4.8009865,4.816689,23.12485886
113,4.9142,113,4.89934,113,0.0999974,4.7993426,4.815129,23.10945373
113.5,4.91394,113.5,4.89903,113.5,0.101176,4.797854,4.813647,23.09517551
114,4.91333,114,4.89836,114,0.102098,4.796262,4.812075,23.07997246
114.5,4.91253,114.5,4.89759,114.5,0.102946,4.794644,4.810495,23.06461099
115,4.91134,115,4.89632,115,0.103368,4.792952,4.80892,23.04892273
115.5,4.91071,115.5,4.89562,115.5,0.104228,4.791392,4.807392,23.03409957
116,4.91038,116,4.89515,116,0.105367,4.789783,4.805878,23.01911274
116.5,4.90942,116.5,4.89413,116.5,0.106026,4.788104,4.804279,23.0033875
117,4.90826,117,4.89298,117,0.106417,4.786563,4.802847,22.98912974
117.5,4.90783,117.5,4.89243,117.5,0.107417,4.785013,4.8013,22.97428292
118,4.90732,118,4.89183,118,0.108495,4.783335,4.799664,22.9584008
118.5,4.90636,118.5,4.89084,118.5,0.109125,4.781715,4.798265,22.94393572
119,4.90535,119,4.88978,119,0.109635,4.780145,4.796681,22.9288307
119.5,4.9048,119.5,4.88915,119.5,0.110779,4.778371,4.794998,22.91227939
120,4.90443,120,4.88865,120,0.111948,4.776702,4.793372,22.89650962
120.5,4.90337,120.5,4.88757,120.5,0.112443,4.775127,4.791837,22.88163024
121,4.90257,121,4.88675,121,0.113295,4.773455,4.790247,22.86602849
121.5,4.90185,121.5,4.88598,121.5,0.114171,4.771809,4.788631,22.8504325
122,4.90101,122,4.88502,122,0.114997,4.770023,4.786936,22.83379482
122.5,4.90041,122.5,4.88438,122.5,0.116055,4.768325,4.785231,22.81753661
123,4.89932,123,4.88326,123,0.116598,4.766662,4.783691,22.80223811
123.5,4.8986,123.5,4.88247,123.5,0.117539,4.764931,4.78203,22.78604299
124,4.89798,124,4.88181,124,0.118613,4.763197,4.780374,22.7698631
124.5,4.89712,124.5,4.8809,124.5,0.119464,4.761436,4.778689,22.75342184
125,4.89603,125,4.87967,125,0.119969,4.759701,4.776928,22.73674898
125.5,4.89563,125.5,4.87918,125.5,0.12132,4.75786,4.775288,22.72015176
126,4.89443,126,4.87799,126,0.121959,4.756031,4.773507,22.70294727
126.5,4.89354,126.5,4.87713,126.5,0.122898,4.754232,4.771661,22.68558342
127,4.89262,127,4.87607,127,0.123745,4.752325,4.769932,22.66826709
127.5,4.892,127.5,4.87533,127.5,0.124789,4.750541,4.768239,22.65171487
128,4.89105,128,4.87441,128,0.125656,4.748754,4.766427,22.63458928
128.5,4.89013,128.5,4.87341,128.5,0.126511,4.746899,4.764714,22.61761612
129,4.88927,129,4.87245,129,0.127439,4.745011,4.762903,22.60002713
129.5,4.8883,129.5,4.87141,129.5,0.128197,4.743213,4.761156,22.58317703
130,4.88781,130,4.87086,130,0.129499,4.741361,4.759298,22.56554992
130.5,4.8866,130.5,4.86967,130.5,0.130181,4.739489,4.757452,22.54789142
131,4.88572,131,4.86871,131,0.131175,4.737535,4.755584,22.52974565
131.5,4.88507,131.5,4.86799,131.5,0.132367,4.735623,4.753834,22.51236563
132,4.88402,132,4.86691,132,0.133187,4.733723,4.751822,22.49380909
132.5,4.88314,132.5,4.86596,132.5,0.134141,4.731819,4.750067,22.47645728
133,4.88213,133,4.86484,133,0.134962,4.729878,4.748283,22.4587993
133.5,4.88118,133.5,4.86387,133.5,0.135981,4.727889,4.746346,22.44019704
134,4.88037,134,4.86299,134,0.137092,4.725898,4.744424,22.42166389
134.5,4.87925,134.5,4.86175,134.5,0.13796,4.72379,4.742438,22.4022812
135,4.87844,135,4.86095,135,0.139169,4.721781,4.740402,22.3831401
135.5,4.87729,135.5,4.85972,135.5,0.140115,4.719605,4.738304,22.36292325
136,4.87652,136,4.85889,136,0.14128,4.71761,4.736358,22.34428986
136.5,4.87527,136.5,4.8576,136.5,0.142202,4.715398,4.734201,22.32364193
137,4.87434,137,4.85655,137,0.143259,4.713291,4.732162,22.30405657
137.5,4.87341,137.5,4.85554,137.5,0.144354,4.711186,4.730154,22.2846353
138,4.87218,138,4.8543,138,0.145155,4.709145,4.728151,22.26554864
138.5,4.87129,138.5,4.85328,138.5,0.146326,4.706954,4.726069,22.24538938
139,4.87057,139,4.85254,139,0.147629,4.704911,4.724023,22.22610778
139.5,4.86942,139.5,4.85125,139.5,0.148535,4.702715,4.721958,22.20602272
140,4.86825,140,4.8501,140,0.14949,4.70061,4.719898,22.18639974
140.5,4.86722,140.5,4.84898,140.5,0.150638,4.698342,4.717775,22.16572043
141,4.86651,141,4.84819,141,0.152194,4.695996,4.715482,22.14388461
141.5,4.86543,141.5,4.84702,141.5,0.153254,4.693766,4.713312,22.12318361
142,4.86392,142,4.84545,142,0.15397,4.69148,4.711138,22.1022097
142.5,4.86302,142.5,4.84455,142.5,0.155285,4.689265,4.708982,22.08166448
143,4.86243,143,4.84388,143,0.156937,4.686943,4.70663,22.05970653
143.5,4.86078,143.5,4.8421,143.5,0.157567,4.684533,4.704342,22.03764534
144,4.85956,144,4.84085,144,0.15862,4.68223,4.702016,22.01592038
144.5,4.85877,144.5,4.84007,144.5,0.160199,4.679871,4.699728,21.99412078
145,4.85778,145,4.83888,145,0.161595,4.677285,4.69744,21.97126565
145.5,4.85612,145.5,4.83724,145.5,0.162305,4.674935,4.695052,21.94906292
146,4.85479,146,4.83579,146,0.163303,4.672487,4.692578,21.9260097
146.5,4.85409,146.5,4.835,146.5,0.165129,4.669871,4.690093,21.90212929
147,4.85265,147,4.83352,147,0.166195,4.667325,4.687639,21.8787347
147.5,4.85124,147.5,4.83211,147.5,0.167415,4.664695,4.685151,21.85480044
148,4.85016,148,4.83087,148,0.16882,4.66205,4.682497,21.83003514
148.5,4.84891,148.5,4.82958,148.5,0.170231,4.659349,4.679926,21.80540853
149,4.848,149,4.8286,149,0.17188,4.65672,4.677332,21.78102547
149.5,4.84618,149.5,4.82675,149.5,0.172806,4.653944,4.674547,21.75507996
150,4.84479,150,4.82536,150,0.174169,4.651191,4.671936,21.73006668
150.5,4.84398,150.5,4.82441,150.5,0.175941,4.648469,4.669242,21.70482669
151,4.84256,151,4.82289,151,0.177173,4.645717,4.666605,21.67972618
151.5,4.84114,151.5,4.82141,151.5,0.17856,4.64285,4.663813,21.65338419
152,4.83981,152,4.82007,152,0.179979,4.640091,4.661107,21.62796064
152.5,4.83878,152.5,4.81895,152.5,0.181761,4.637189,4.658278,21.6013155
153,4.837,153,4.81709,153,0.182713,4.634377,4.655587,21.57574531
153.5,4.83578,153.5,4.81578,153.5,0.184286,4.631494,4.652675,21.54883635
154,4.83419,154,4.8141,154,0.18561,4.62849,4.649864,21.52184903
154.5,4.83303,154.5,4.81296,154.5,0.18754,4.62542,4.646831,21.49354504
155,4.83153,155,4.81131,155,0.188968,4.622342,4.643868,21.4655461
